1 0 1951
2 1951 3080
3 5031 6278
4 11309 952
5 12261 6477
6 18738 900
7 19638 1116
8 20754 780
9 21534 6291
10 27825 2825
11 30650 5045
12 35695 8937
13 44632 7209
14 51841 1783
15 53624 5352
16 58976 3527
17 62503 1473
18 63976 639
19 64615 3211
20 67826 9025
21 76851 2868
22 79719 2212
23 81931 5556
24 87487 1270
25 88757 4391
26 93148 688
27 93836 2505
28 96341 1494
29 97835 1085
30 98920 2462
31 101382 4276
32 105658 2800
33 108458 5392
34 113850 5827
35 119677 4439
36 124116 2747
37 126863 2031
38 128894 1039
39 129933 789
40 130722 2636
41 133358 5727
42 139085 935
43 140020 1753
44 141773 1680
45 143453 7229
46 150682 1188
47 151870 2213
48 154083 2424
49 156507 1388
50 157895 543
51 158438 4991
52 163429 6080
53 169509 11586
54 181095 1199
55 182294 2288
56 184582 993
57 185575 1216
58 186791 2139
59 188930 2723
60 191653 5167
61 196820 2423
62 199243 3015
63 202258 20010
64 222268 2816
65 225084 1582
66 226666 2197
67 228863 1719
68 230582 1396
69 231978 7215
70 239193 4572
71 243765 12549
72 256314 2379
73 258693 1801
74 260494 1415
75 261909 3059
76 264968 1369
77 266337 3853
78 270190 1067
79 271257 1088
80 272345 1288
81 273633 2304
82 275937 1911
83 277848 2306
84 280154 3423
85 283577 203
86 283780 961
87 284741 7053
88 291794 5071
89 296865 6377
90 303242 4409
91 307651 3686
92 311337 2739
93 314076 30553
94 344629 3864
95 348493 4976
96 353469 2805
97 356274 1911
98 358185 4554
99 362739 1224
100 363963 2552
101 366515 465
102 366980 3139
103 370119 2101
104 372220 10106
105 382326 1005
106 383331 1334
107 384665 5126
108 389791 2521
109 392312 6604
110 398916 7761
111 406677 1409
112 408086 1754
113 409840 2227
114 412067 3392
115 415459 1756
116 417215 2087
117 419302 5890
118 425192 2067
119 427259 1425
120 428684 1083
121 429767 3161
122 432928 6297
123 439225 1815
124 441040 2354
125 443394 2571
126 445965 2509
127 448474 3586
128 452060 1267
129 453327 8430
130 461757 3750
131 465507 1380
132 466887 9981
133 476868 4025
134 480893 7132
135 488025 9680
136 497705 3302
137 501007 6389
138 507396 4279
139 511675 4598
140 516273 2925
141 519198 1282
142 520480 3047
143 523527 1939
144 525466 1661
145 527127 1710
146 528837 3335
147 532172 2055
148 534227 2117
149 536344 979
150 537323 1882
151 539205 3932
152 543137 2188
153 545325 5346
154 550671 1736
155 552407 1873
156 554280 2534
157 556814 2178
158 558992 2366
159 561358 2147
160 563505 1777
161 565282 2373
162 567655 5872
163 573527 4885
164 578412 1578
165 579990 13408
166 593398 5217
167 598615 948
168 599563 14050
169 613613 1825
170 615438 1504
171 616942 991
172 617933 1277
173 619210 1747
174 620957 6037
175 626994 2918
176 629912 2945
177 632857 2334
178 635191 1931
179 637122 2762
180 639884 5375
181 645259 14967
182 660226 7187
183 667413 3275
184 670688 3174
185 673862 2536
186 676398 2850
187 679248 1336
188 680584 2285
189 682869 5117
190 687986 1591
191 689577 1285
192 690862 1694
193 692556 1971
194 694527 2054
195 696581 2556
196 699137 2018
197 701155 1480
198 702635 1371
199 704006 1281
200 705287 2464
201 707751 3092
202 710843 5084
203 715927 5458
204 721385 4563
205 725948 5390
206 731338 1815
207 733153 3789
208 736942 6024
209 742966 2422
210 745388 4314
